,userid,number_of_courses,total_marks
153,1356,4.0,336.3
154,1357,7.0,589.77
155,1358,4.0,309.85
156,1359,3.0,235.33
157,1360,3.0,257.7
158,1361,7.0,567.2
159,1362,4.0,338.47
160,1363,4.0,349.9
161,1364,5.0,347.53
162,1365,4.0,344.7
163,1366,3.0,240.5
164,1367,4.0,313.25
165,1368,4.0,315.9
166,1369,5.0,385.1
167,1370,4.0,291.6
168,1372,1.0,88.0
169,1373,2.0,163.25
170,1374,4.0,306.5
171,1376,3.0,247.0
172,1377,4.0,312.5
173,1379,5.0,418.33
174,1380,3.0,237.0
175,1381,6.0,502.33
176,1383,7.0,487.82
177,1385,2.0,79.0
178,1386,4.0,307.0
179,1388,1.0,84.0
180,1389,5.0,326.6
181,1390,4.0,336.1
182,1392,4.0,298.4
183,1393,4.0,352.3
184,1394,5.0,348.86
185,1395,4.0,305.85
186,1396,5.0,394.6
187,1397,6.0,535.42
188,1398,4.0,324.4
189,1399,3.0,259.03
190,1400,4.0,305.3
191,1402,5.0,372.34
192,1403,4.0,325.88
193,1404,4.0,301.92
194,1405,1.0,83.0
195,1406,1.0,72.0
196,1407,1.0,76.0
197,1409,3.0,196.5
198,1410,4.0,331.75
199,1412,5.0,379.0
200,1413,7.0,513.36
201,1414,1.0,85.5
202,1416,3.0,188.5
203,1419,1.0,76.0
204,1420,4.0,288.37
205,1421,3.0,203.5
206,1422,6.0,400.7
207,1424,5.0,342.96
208,1425,3.0,255.6
209,1426,2.0,155.43
210,1427,4.0,312.39
211,1428,4.0,295.5
212,1429,6.0,392.6
213,1431,5.0,376.4
214,1434,4.0,332.5
215,1437,1.0,88.2
216,1438,4.0,340.4
217,1439,6.0,455.22
218,1440,4.0,364.2
219,1441,6.0,459.37
220,1443,4.0,320.2
221,1445,4.0,324.37
222,1446,5.0,378.3
223,1447,5.0,352.0
224,1448,5.0,320.5
225,1449,5.0,353.68
226,1450,1.0,90.3
227,1451,5.0,343.4
228,1452,5.0,350.8
229,1453,5.0,381.9500000000001
230,1456,4.0,339.6
231,1457,4.0,359.73
232,1458,1.0,88.0
233,1461,4.0,338.5
234,1462,4.0,335.5
235,1463,4.0,295.5
236,1464,3.0,231.5
237,1465,4.0,341.3
238,1467,4.0,311.0
239,1470,4.0,299.4
240,1471,5.0,342.96
241,1472,1.0,80.0
242,1474,5.0,409.7000000000001
243,1475,5.0,339.1
244,1476,7.0,440.0
245,1477,3.0,241.3
246,1478,4.0,338.83
247,1479,3.0,274.1
248,1480,4.0,345.0
249,1482,5.0,362.76
250,1483,5.0,396.27
251,1484,1.0,86.5
252,1485,1.0,87.0
253,1487,1.0,86.7
254,1488,5.0,345.8
255,1490,4.0,347.4
256,1491,5.0,397.0
257,1492,4.0,341.9
258,1493,5.0,312.25
259,1494,5.0,374.0
260,1497,4.0,324.5
261,1498,4.0,247.0
262,1500,1.0,97.0
263,1501,1.0,94.0
264,1502,4.0,313.0
265,1504,5.0,171.0
266,1505,5.0,315.1
267,1507,4.0,341.84000000000003
268,1508,5.0,407.5
269,1509,3.0,220.5
270,1510,1.0,88.2
271,1511,2.0,182.0
272,1512,4.0,341.5
273,1514,4.0,314.19
274,1515,4.0,348.11
275,1516,4.0,347.7
276,1517,5.0,415.0
277,1518,1.0,93.8
278,1519,5.0,444.33
279,1520,8.0,499.65
280,1521,1.0,85.3
281,1524,1.0,87.4
282,1525,4.0,310.33
283,1526,4.0,320.5
284,1527,1.0,83.6
285,1528,2.0,137.67000000000002
286,1529,1.0,85.5
287,1530,4.0,351.5
288,1531,4.0,316.01
289,1533,1.0,78.2
290,1534,1.0,86.6
291,1535,4.0,344.6
292,1536,4.0,308.17
293,1537,5.0,360.27000000000004
294,1538,4.0,309.5
295,1539,7.0,579.77
296,1540,5.0,421.4
297,1541,2.0,151.23000000000002
298,1542,1.0,88.7
299,1545,7.0,535.1700000000001
300,1546,5.0,375.75
301,1548,7.0,443.6
302,1549,3.0,176.8
303,1556,2.0,71.07
304,1557,1.0,0.0
305,1558,3.0,136.18
306,1559,2.0,157.5
307,1560,3.0,137.7
308,1561,2.0,163.2
309,1562,3.0,144.0
310,1563,3.0,153.73000000000002
311,1564,4.0,294.24
312,1565,4.0,229.02
313,1567,3.0,235.03
314,1568,2.0,155.53
315,1571,3.0,133.54
316,1572,4.0,313.98
317,1573,2.0,74.0
318,1574,2.0,142.3
319,1575,4.0,316.03000000000003
320,1576,4.0,206.3
321,1578,2.0,151.01999999999998
322,1579,4.0,233.96000000000004
323,1580,2.0,149.05
324,1581,2.0,66.0
325,1582,2.0,152.75
326,1583,2.0,152.47
327,1584,3.0,194.96
328,1585,3.0,207.53
329,1587,3.0,236.91
330,1588,3.0,247.55
331,1589,1.0,87.5
332,1590,1.0,0.0
333,1592,2.0,139.35
334,1593,2.0,160.85
335,1594,2.0,140.35
336,1596,1.0,75.31
337,1597,3.0,160.8
338,1602,1.0,67.0
339,1603,3.0,154.12
340,1604,1.0,65.0
341,1606,2.0,64.5
342,1607,2.0,160.85000000000002
343,1608,1.0,80.0
344,1609,3.0,251.63
345,1610,2.0,135.5
346,1611,4.0,311.39
347,1614,6.0,343.58000000000004
348,1617,3.0,205.41
349,1618,2.0,138.25
350,1619,3.0,157.6
351,1620,2.0,147.1
352,1621,4.0,287.85
353,1623,2.0,147.4
354,1624,4.0,310.6
355,1625,3.0,241.82
356,1626,3.0,202.92
357,1629,3.0,250.3
358,1630,2.0,77.63
359,1633,4.0,213.25
360,1635,1.0,0.0
361,1637,2.0,75.2
362,1638,3.0,189.74
363,1639,4.0,307.87
364,1640,4.0,345.58000000000004
365,1641,3.0,212.45
366,1642,3.0,206.87
367,1643,3.0,244.46
368,1644,3.0,212.32
369,1645,2.0,167.55
370,1647,3.0,232.24
371,1648,4.0,244.75
372,1649,2.0,152.05
373,1650,3.0,199.9
374,1651,4.0,234.5
375,1652,3.0,240.82
376,1653,3.0,210.45
377,1656,3.0,172.75
378,1657,1.0,72.37
379,1658,3.0,218.27
380,1659,3.0,147.33
381,1660,1.0,54.5
382,1661,3.0,154.65
383,1662,4.0,220.22000000000003
384,1663,4.0,217.97
385,1664,2.0,152.0
386,1665,1.0,64.8
387,1666,2.0,156.01
388,1667,2.0,78.52
389,1668,3.0,149.25
390,1669,2.0,165.35
391,1670,2.0,122.94
392,1671,3.0,154.35000000000002
393,1672,3.0,162.87
394,1673,3.0,116.86
395,1674,3.0,137.95
396,1675,3.0,79.9
397,1676,3.0,145.66
398,1677,2.0,146.94
399,1678,1.0,69.9
400,1679,3.0,141.8
401,1680,3.0,133.14
402,1681,2.0,117.8
403,1682,3.0,155.27
404,1683,3.0,150.17000000000002
405,1684,2.0,144.54000000000002
406,1685,2.0,88.2
407,1686,3.0,153.9
408,1687,1.0,0.0
409,1688,1.0,77.0
410,1692,2.0,167.4
411,1693,3.0,72.73
412,1694,3.0,245.07
413,1695,3.0,219.98
414,1696,2.0,75.02
415,1697,3.0,232.93
416,1699,3.0,178.79
417,1700,1.0,0.0
418,1705,1.0,76.0
419,1709,2.0,103.28
420,1713,2.0,67.3
421,1714,4.0,218.1
422,1730,1.0,69.05
423,1731,4.0,199.57
424,1732,3.0,259.1
425,1734,3.0,231.58
426,1735,1.0,47.21
427,1736,5.0,384.23
428,1737,2.0,168.54000000000002
429,1739,3.0,213.66
430,1740,2.0,133.32
431,1741,1.0,0.0
432,1742,2.0,160.1
433,1744,1.0,67.0
434,1746,3.0,256.7
435,1747,6.0,480.9
436,1749,5.0,409.3
437,1750,3.0,233.0
438,1753,6.0,418.0
439,1756,3.0,193.1
440,1758,5.0,386.13
441,1759,4.0,266.44
442,1760,2.0,137.3
443,1761,5.0,381.7
444,1762,6.0,473.23
445,1763,3.0,188.7
446,1764,3.0,211.3
447,1765,3.0,115.8
448,1766,5.0,329.47
449,1767,2.0,160.10000000000002
450,1768,5.0,401.6
451,1769,2.0,120.9
452,1770,5.0,391.9500000000001
453,1771,3.0,210.4
454,1772,1.0,89.5
455,1773,1.0,86.0
456,1776,1.0,90.0
457,1779,1.0,0.0
458,1782,6.0,359.5
459,1783,6.0,417.5
460,1785,5.0,389.21
461,1786,1.0,83.0
462,1787,1.0,97.0
463,1790,1.0,95.0
464,1791,1.0,84.0
465,1794,4.0,356.4
466,1797,1.0,84.0
467,1798,1.0,95.0
468,1800,7.0,569.7
469,1803,1.0,92.0
470,1804,1.0,80.0
471,1814,7.0,581.0500000000001
472,1815,2.0,141.0
473,1817,5.0,345.63
474,1818,6.0,476.34
475,1819,1.0,91.0
476,1820,7.0,521.9200000000001
477,1821,6.0,429.54
478,1822,6.0,447.85
479,1823,5.0,375.53
480,1824,6.0,478.25
481,1826,7.0,379.09
482,1829,6.0,442.06
483,1830,5.0,381.84
484,1831,5.0,277.06
485,1832,7.0,434.18
486,1833,7.0,469.47
487,1834,7.0,383.82
488,1835,6.0,474.6
489,1836,7.0,512.26
490,1838,7.0,526.05
491,1840,7.0,585.73
492,1841,7.0,412.46
493,1842,7.0,570.69
494,1843,7.0,530.35
495,1844,7.0,579.27
496,1845,7.0,581.0
497,1846,7.0,593.38
498,1847,7.0,587.13
499,1848,7.0,483.55
500,1849,7.0,536.47
501,1850,7.0,566.23
502,1851,7.0,505.84
503,1852,7.0,510.19
504,1854,1.0,90.0
505,1856,1.0,88.0
506,1862,1.0,84.0
507,1864,1.0,93.0
508,1865,1.0,83.0
509,1866,1.0,90.0
510,1870,1.0,88.0
511,1873,1.0,82.0
512,1880,2.0,180.0
513,1885,1.0,89.5
514,1886,1.0,85.0
515,1887,4.0,275.9
516,1888,3.0,210.8
517,1889,6.0,336.03
518,1890,5.0,371.18
519,1891,5.0,379.0
520,1892,5.0,350.84000000000003
521,1893,5.0,384.55
522,1894,5.0,320.03
523,1895,6.0,268.65
524,1896,6.0,445.45
525,1897,6.0,339.1
526,1898,6.0,420.80000000000007
527,1899,6.0,473.0300000000001
528,1900,7.0,497.08
529,1901,4.0,322.13
530,1902,6.0,457.58
531,1903,6.0,384.95
532,1904,6.0,452.93
533,1905,6.0,410.55
534,1906,6.0,439.88
535,1907,6.0,426.67
536,1908,5.0,391.55
537,1909,5.0,314.91
538,1910,6.0,432.88
539,1911,6.0,444.2
540,1912,7.0,478.83
541,1913,6.0,396.65
542,1914,6.0,407.8
543,1915,7.0,508.28
544,1916,7.0,583.6
545,1917,8.0,618.5799999999999
546,1918,7.0,479.74
547,1919,6.0,452.63
548,1920,6.0,378.58
549,1921,5.0,352.7
550,1922,6.0,455.45
551,1923,7.0,503.33
552,1924,8.0,469.51
553,1926,1.0,93.0
554,1927,3.0,232.87
555,1947,1.0,88.0
556,1948,7.0,389.61
557,1949,1.0,93.0
558,1950,1.0,87.0
559,1951,6.0,360.46
560,1952,6.0,401.89
561,1953,7.0,403.63
562,1954,7.0,529.91
563,1955,7.0,491.92
564,1956,7.0,451.81
565,1957,7.0,412.87
566,1958,6.0,363.51
567,1959,7.0,583.0
568,1960,7.0,426.89
569,1961,7.0,597.48
570,1962,7.0,512.77
571,1963,7.0,437.66
572,1964,7.0,455.0
573,1965,6.0,447.69
574,1966,7.0,568.1700000000001
575,1967,6.0,376.84
576,1968,6.0,351.98
577,1969,7.0,620.78
578,1970,7.0,429.55000000000007
579,1972,7.0,584.97
580,1973,7.0,521.76
581,1974,7.0,491.94
582,1975,7.0,469.4
583,1976,7.0,534.48
584,1977,7.0,404.62
585,1978,1.0,80.0
586,1980,3.0,228.0
587,1981,3.0,235.0
588,1983,5.0,425.3
589,1984,1.0,95.7
590,1985,3.0,261.0
591,1986,5.0,383.4
592,1988,1.0,85.0
593,1989,1.0,80.0
594,1991,5.0,415.51
595,1992,3.0,235.0
596,1993,1.0,85.0
597,1994,1.0,82.0
598,1995,6.0,429.33
599,1996,5.0,387.65
600,1997,1.0,83.0
601,1998,1.0,84.0
602,1999,5.0,385.55
603,2002,7.0,587.66
604,2005,1.0,86.0
605,2006,2.0,142.5
606,2008,2.0,169.0
607,2011,4.0,265.6
608,2013,7.0,586.8
609,2015,2.0,151.0
610,2016,7.0,443.78
611,2020,4.0,304.8
612,2021,5.0,382.76
613,2023,7.0,418.7000000000001
614,2027,7.0,500.0
615,2028,8.0,597.05
616,2030,3.0,241.7
617,2031,3.0,239.5
618,2032,7.0,501.0
619,2033,3.0,264.53
620,2034,5.0,390.13
621,2035,5.0,365.9
622,2036,5.0,339.14
623,2037,5.0,337.6
624,2038,7.0,590.29
625,2039,7.0,579.66
626,2041,5.0,376.6
627,2042,6.0,452.6
628,2044,5.0,342.6
629,2046,4.0,335.29999999999995
630,2048,3.0,226.0
631,2050,7.0,503.18000000000006
632,2052,5.0,422.55
633,2053,1.0,80.4
634,2054,5.0,345.66
635,2055,3.0,249.0
636,2056,7.0,466.8
637,2057,7.0,423.8
638,2058,6.0,421.4
639,2059,6.0,442.8
640,2060,7.0,533.2
641,2061,5.0,299.95
642,2062,7.0,415.69
643,2063,7.0,402.19
644,2064,6.0,462.15
645,2065,5.0,349.2
646,2067,5.0,310.51
647,2068,6.0,344.59000000000003
648,2069,6.0,438.65
649,2070,6.0,369.63
650,2071,5.0,349.3
651,2072,3.0,208.1
652,2073,6.0,394.8
653,2074,5.0,364.73
654,2075,1.0,88.0
655,2077,6.0,485.5
656,2078,4.0,354.1
657,2079,1.0,90.0
658,2081,4.0,303.44
659,2082,4.0,315.78
660,2083,1.0,95.0
661,2084,1.0,88.0
662,2085,6.0,400.23
663,2086,6.0,420.79
664,2087,5.0,397.07
665,2088,6.0,392.79
666,2089,6.0,398.37
667,2090,6.0,221.86
668,2091,6.0,464.4500000000001
669,2092,6.0,429.09
670,2093,6.0,467.4
671,2094,5.0,387.35
672,2095,5.0,373.25
673,2096,6.0,404.38
674,2097,6.0,464.47
675,2098,8.0,532.8199999999999
676,2099,6.0,444.99
677,2100,6.0,458.48
678,2101,5.0,368.55
679,2102,6.0,376.6
680,2103,6.0,439.57
681,2104,6.0,370.3
682,2105,6.0,489.02
683,2106,5.0,403.55
684,2107,7.0,439.84
685,2108,6.0,458.73
686,2109,5.0,408.05
687,2110,6.0,356.49
688,2111,6.0,355.2
689,2112,6.0,363.73
690,2113,5.0,398.34
691,2114,6.0,450.39
692,2115,6.0,370.44
693,2116,7.0,453.04
694,2117,6.0,435.3
695,2118,6.0,439.19
696,2119,6.0,482.16
697,2120,7.0,526.66
698,2121,6.0,408.22
699,2122,7.0,543.93
700,2123,5.0,335.85
701,2124,5.0,366.73
702,2125,6.0,401.59
703,2126,6.0,434.04
704,2127,6.0,386.41
705,2128,6.0,405.8
706,2129,3.0,143.0
707,2130,6.0,424.48
708,2131,6.0,339.91
709,2132,6.0,372.78
710,2133,7.0,404.55
711,2134,6.0,434.98
712,2135,5.0,310.83
713,2136,6.0,413.1
714,2137,5.0,288.18
715,2138,5.0,393.44
716,2139,6.0,428.65
717,2140,8.0,605.63
718,2141,6.0,434.55
719,2142,6.0,490.68
720,2143,6.0,435.63
721,2144,6.0,462.52
722,2145,6.0,489.15
723,2146,6.0,357.3
724,2147,7.0,413.43
725,2148,6.0,384.06
726,2149,4.0,200.75
727,2150,7.0,431.41
728,2151,7.0,535.13
729,2152,5.0,397.98
730,2153,6.0,366.57
731,2154,6.0,352.4
732,2156,1.0,85.0
733,2160,5.0,268.73
734,2163,1.0,89.5
735,2164,1.0,91.0
736,2173,5.0,308.54999999999995
737,2174,2.0,176.85
738,2177,1.0,88.0
739,2180,3.0,230.85
740,2182,1.0,93.0
741,2183,6.0,356.66
742,2185,6.0,453.43
743,2186,6.0,460.02
744,2187,6.0,458.85
745,2188,5.0,360.45
746,2189,6.0,432.97
747,2190,6.0,399.25
748,2191,6.0,457.05
749,2192,6.0,416.51
750,2193,1.0,90.0
751,2194,1.0,81.0
752,2198,1.0,81.0
753,2199,6.0,375.88
754,2200,6.0,400.47
755,2201,6.0,432.93
756,2202,6.0,415.44
757,2203,7.0,425.27
758,2204,6.0,424.16
759,2205,6.0,294.83
760,2206,6.0,420.5
761,2207,8.0,507.2
762,2208,5.0,372.97
763,2209,7.0,365.7000000000001
764,2210,7.0,417.38
765,2211,6.0,427.05
766,2212,6.0,371.81
767,2213,6.0,361.81
768,2214,5.0,374.72
769,2215,5.0,392.34
770,2216,6.0,499.1
771,2217,7.0,396.57
772,2218,6.0,440.5700000000001
773,2219,8.0,457.44
774,2220,5.0,388.9500000000001
775,2221,6.0,457.73
776,2222,7.0,450.16
777,2223,5.0,379.5
778,2224,5.0,388.27
779,2225,6.0,399.78
780,2226,6.0,438.26
781,2229,4.0,216.59
782,2231,1.0,79.5
783,2234,5.0,326.14
784,2235,5.0,377.26
785,2236,6.0,483.06
786,2237,3.0,248.73
787,2238,5.0,376.04
788,2239,4.0,311.88
789,2240,4.0,317.35
790,2241,4.0,298.92
791,2242,4.0,316.4
792,2243,3.0,247.56
793,2244,4.0,325.9
794,2245,5.0,402.13
795,2246,4.0,318.48
796,2247,4.0,333.1
797,2248,6.0,470.43
798,2249,4.0,319.52
799,2250,3.0,238.35
800,2251,5.0,399.38
801,2252,4.0,314.88
802,2253,4.0,338.95
803,2254,4.0,328.33
804,2255,4.0,308.33
805,2256,4.0,323.03
806,2257,4.0,308.32
807,2258,4.0,342.6
808,2259,4.0,325.05
809,2261,4.0,338.08
810,2262,4.0,298.8
811,2263,4.0,313.87
812,2264,5.0,361.03
813,2265,4.0,343.3
814,2266,6.0,387.25
815,2267,4.0,332.83
816,2268,5.0,422.03
817,2269,4.0,305.48
818,2270,4.0,346.45
819,2271,3.0,245.23
820,2272,4.0,307.45
821,2273,4.0,337.42
822,2274,4.0,308.13
823,2275,4.0,308.78000000000003
824,2276,4.0,301.19
825,2291,3.0,150.9
826,2363,1.0,82.33
827,2368,1.0,90.0
828,2369,7.0,518.21
829,2370,7.0,539.01
830,2371,8.0,565.54
831,2373,7.0,538.65
832,2375,7.0,454.06
833,2376,6.0,438.13
834,2377,7.0,527.1
835,2378,6.0,437.73
836,2379,8.0,607.2
837,2380,7.0,530.63
838,2381,7.0,521.05
839,2382,7.0,578.05
840,2383,7.0,543.3
841,2384,7.0,507.2
842,2385,7.0,503.49
843,2386,5.0,372.17
844,2387,7.0,544.02
845,2388,5.0,286.4
846,2389,6.0,424.56
847,2390,8.0,633.35
848,2391,5.0,369.06
849,2392,6.0,431.24
850,2396,4.0,210.04
851,2397,7.0,495.9
852,2398,7.0,504.1
853,2399,7.0,533.85
854,2400,7.0,490.8
855,2402,7.0,424.4
856,2403,7.0,450.39
857,2404,6.0,405.85
858,2405,7.0,501.5
859,2407,7.0,488.4
860,2408,8.0,478.5
861,2409,7.0,412.6
862,2410,7.0,473.05
863,2411,8.0,655.0
864,2412,7.0,563.48
865,2413,8.0,583.75
866,2414,7.0,521.0799999999999
867,2415,7.0,545.75
868,2416,6.0,466.4
869,2417,7.0,536.14
870,2418,7.0,410.1
871,2419,7.0,503.71
872,2420,7.0,490.25
873,2421,7.0,573.62
874,2422,7.0,530.34
875,2423,8.0,608.74
876,2424,7.0,527.93
877,2425,7.0,499.14
878,2426,7.0,520.8499999999999
879,2427,8.0,628.8
880,2428,7.0,524.45
881,2429,6.0,442.1
882,2430,8.0,569.3
883,2431,7.0,545.4
884,2432,8.0,554.1099999999999
885,2433,7.0,548.44
886,2434,7.0,541.85
887,2435,8.0,576.3
888,2436,7.0,516.86
889,2437,7.0,568.8
890,2438,7.0,546.65
891,2439,7.0,524.8
892,2440,7.0,484.96
893,2441,7.0,525.7
894,2442,7.0,516.75
895,2443,7.0,539.65
896,2444,7.0,558.3199999999999
897,2445,7.0,540.9000000000001
898,2446,7.0,508.85
899,2447,7.0,480.2
900,2448,7.0,560.6899999999999
901,2449,7.0,537.7
902,2450,7.0,598.3
903,2451,7.0,498.98
904,2452,7.0,600.4
905,2453,7.0,571.3299999999999
906,2455,8.0,654.8
907,2456,7.0,491.9
908,2457,8.0,594.1400000000001
909,2458,8.0,638.3499999999999
910,2459,7.0,462.94
911,2460,7.0,506.7
912,2461,7.0,569.88
913,2462,7.0,465.9
914,2463,7.0,548.21
915,2464,8.0,574.45
916,2465,7.0,474.05
917,2466,7.0,505.59
918,2467,8.0,580.7
919,2468,7.0,512.59
920,2469,6.0,398.23
921,2470,7.0,565.8
922,2471,7.0,494.5
923,2472,7.0,538.1099999999999
924,2473,7.0,560.4000000000001
925,2474,8.0,596.5
926,2475,7.0,514.04
927,2476,7.0,495.44000000000005
928,2477,6.0,447.35
929,2478,7.0,511.15
930,2479,6.0,458.93
931,2480,7.0,513.7
932,2481,7.0,482.2000000000001
933,2482,7.0,475.29
934,2483,7.0,512.1800000000001
935,2484,7.0,446.94
936,2485,7.0,521.59
937,2486,7.0,512.1
938,2487,7.0,510.14
939,2488,7.0,448.35
940,2489,7.0,548.75
941,2490,7.0,493.0
942,2491,6.0,442.12
943,2492,6.0,361.7
944,2493,6.0,394.73
945,2494,7.0,374.7000000000001
946,2495,7.0,520.21
947,2496,7.0,486.22
948,2497,5.0,441.96
949,2503,3.0,0.0
950,2505,8.0,557.3000000000001
951,2506,8.0,641.18
952,2507,8.0,570.5
953,2508,8.0,548.9100000000001
954,2509,8.0,623.46
955,2510,8.0,639.3199999999999
956,2511,8.0,659.59
957,2512,8.0,658.91
958,2513,8.0,620.01
959,2514,8.0,588.82
960,2515,8.0,659.05
961,2516,8.0,683.03
962,2517,8.0,578.9
963,2518,8.0,618.03
964,2519,8.0,680.55
965,2520,8.0,686.71
966,2521,8.0,670.59
967,2522,8.0,595.98
968,2523,8.0,543.0699999999999
969,2524,8.0,620.41
970,2525,8.0,650.9499999999999
971,2526,8.0,623.1199999999999
972,2527,8.0,681.76
973,2533,7.0,427.3
974,2534,7.0,432.8
975,2535,8.0,535.1
976,2536,7.0,0.0
977,2537,7.0,566.4000000000001
978,2538,7.0,494.69999999999993
979,2539,7.0,484.1
980,2540,8.0,505.9
981,2541,8.0,502.8
982,2542,7.0,490.2000000000001
983,2543,7.0,495.30000000000007
984,2544,7.0,506.4
985,2545,7.0,497.9
986,2546,7.0,547.3
987,2547,7.0,509.4
988,2548,7.0,481.6
989,2549,7.0,473.5
990,2550,7.0,556.5999999999999
991,2551,7.0,577.7
992,2552,7.0,472.7
993,2553,7.0,539.1999999999999
994,2554,7.0,479.2
995,2555,7.0,521.1
996,2556,7.0,491.9
997,2557,7.0,533.4000000000001
998,2558,7.0,484.6
999,2559,7.0,515.4000000000001
1000,2560,7.0,535.1
1001,2561,7.0,523.1
1002,2562,7.0,464.7000000000001
1003,2563,7.0,509.4
1004,2564,7.0,478.30000000000007
1005,2565,7.0,480.6
1006,2566,7.0,541.2
1007,2567,7.0,549.8
1008,2568,7.0,553.0
1009,2569,7.0,576.8
1010,2570,7.0,476.69999999999993
1011,2571,7.0,484.5
1012,2572,7.0,504.0
1013,2573,7.0,502.9000000000001
1014,2574,7.0,486.8
1015,2575,7.0,428.5999999999999
1016,2576,7.0,479.6
1017,2577,7.0,516.6999999999999
1018,2578,7.0,481.7000000000001
1019,2579,7.0,523.4999999999999
1020,2580,7.0,464.4
1021,2581,7.0,504.1
1022,2583,7.0,464.5
1023,2584,7.0,445.9
1024,2588,4.0,315.7
1025,2589,4.0,311.0
1026,2590,4.0,293.2
1027,2591,4.0,257.6
1028,2592,6.0,423.4
1029,2593,4.0,292.0
1030,2594,4.0,277.7
1031,2595,4.0,287.2
1032,2596,4.0,291.9
1033,2597,4.0,282.8
1034,2598,4.0,281.5
1035,2599,4.0,302.5
1036,2600,6.0,427.9
1037,2601,4.0,283.7
1038,2602,4.0,286.6
1039,2603,4.0,293.5
1040,2604,4.0,270.4
1041,2605,4.0,318.1
1042,2606,4.0,289.9
1043,2607,4.0,291.1
1044,2608,4.0,312.4
